id,text,label
115,One hand neck …. One hand on frontal,PERS
116,All you saying is women are hoes shordy 😂😂😂😂 like wtf,PERS
117,This girl had a pic of her hand saying I wear a ring on my finger so guys will leave me alone,PERS
118,my friends r so egg 😭😭😭,PERS
119,"The Ounce is: 1814.80 $ at :Sunday, August 01, 2021 8:06:10 PM (GMT 4)",OTHER
120,God its me,PERS
121,Inspirational.,OTHER
122,Can’t believe I don’t travel for a living😭😭 what’s this like I’m coming back to,PERS
123,can’t wait to say woozi being forced to do nothing sjsklqanne,PERS
124,fuck off dni,OTHER
125,I just told the waitress “you too” after she said “enjoy your food” I’m finna leave 💀💀,PERS
126,Dwan,OTHER
127,I really love everybody in my life that go hard for me .. I’ll go against a army behind mine,PERS
128,I fix me because sometimes I was the problem.,PERS
129,Lob 7? Ifb (ask for fb if you’re already following me),PERS
130,my baby made me the best breakfast sandwich this morning 😩 we be at work making anything,PERS
131,Let's keep the triple digit sends rolling in. It's what I like to see in the beginning of every month.,PERS
132,"“the church is homophobic” the in-game pope is fucking gay, my man",PERS
133,Why do cats decide to be energetic at 4am lol,PERS
134,"Shadows all over my heart got nobody to trust, All I've ever wanted was just to be loved",PERS
135,Lmao did they actually think trump would pay a dime to Rudy,SOC
136,Chatime,OTHER
137,I’m always here for you🤍,PERS
138,happy girlfriends day to every woman with a crush on me,PERS
139,⠀ ⠀ . . . she will refrain from making any further comments . ⠀,OTHER
140,I just unpacked a box from when I moved. I’ve lived her for like 9 months. Lmao. I can’t wait to move again,PERS
141,"brb im running to the toy store to buy a giant ass teddy bear for my gm, y’all want anything?",PERS
142,every day happy er.,OTHER
143,I wake up late and ocon wins what to heck,SPORT
144,im about to play that beat saber vr game for the first time🥶,ENT
145,Gen Z was a mistake.,PERS
146,I’ve been working extremely hard last month my vacation starts tomorrow. 🙃🙃🙃,PERS
147,"The maid didn't let anyone see her for the rest of the evening, not lady Alcina Dimitrescu or Mother Miranda",ENT
148,"Interesting, wonder if this will lead to a general crackdown on pop stars, seems to be the trend these days….",PERS
149,Wooow so nobody wants me,PERS
150,Getting all these free/discount emails for my birthday month 😹,PERS
151,Jury duty is all about putting someone else's life in your hands for about $12 a day,SOC
152,Improvise adapt and overcome.,PERS
153,Why do I look mad in so many of my photos,PERS
154,speechless bgttt liat ig story arif muhamad😶😶😶,ENT
155,Ok logout chesthunna Bye see y'all soon ❤ Take care,PERS
156,I’m gonna cry,PERS
157,posting pics of my bitch looking BAD,PERS
158,“Very hung~”,OTHER
159,"oh captain, my captian",OTHER
160,lmaooo i just posted all my homegirls today,PERS
161,IM WEAK FOR THIS SUNWOO 😭😭😭,ENT
162,And then Mathoho kicks the ball out while there’s no pressure on him 💀,SPORT
163,Here we go again,OTHER
164,Night 🌝,OTHER
165,replacing every,OTHER
166,This is the second time. Even on Chiefs' corner. He was inside 😂😂,SPORT
167,i hate it when i cant be happy.,PERS
168,Finding simplicity and yet avoiding clichés are way harder than you think it is,PERS
169,Americans trying to claim Lamont Jacobs is just the saddest shit.,SPORT
170,such a cool model babie sunwoo🥰♥️,ENT
171,Any ladies wanna try with me?,PERS
172,I catch about 60 attitudes a day 🤣🤣🤣🤣🤣🤣,PERS
173,See a bitch like me would’ve flipped da question like “what u think it abt 🤔” or said sumn abt cars,PERS
174,GEORGE 🥺,OTHER
175,"Life is too short to be living in some boring ass location because the cost of living is cheaper, you get what you pay for",PERS
176,chatime,OTHER
177,HELP,OTHER
178,i know the love be fake but as long as the respect real we good!,PERS
179,Led lights are ugly,PERS
180,"wait i have classes tmrw, and ive been out the whole day so i kinda rested for a bit … i havent studied anything fuuck shud i go study",PERS
181,Lauren and Cam🥺,OTHER
182,When I was losing I was still smiling I knew I was gone get it back,PERS
183,Viva la Sebastian Vettel. Showing up the problems in Formula One.,SPORT
184,SFTH &gt; Wattpad &gt; webtoon,OTHER
185,5 months celibacy ends today i gotta feel smth.,PERS
186,Co signed ... Champions of Europe TWICE,SPORT
187,Jing,OTHER
188,namjoon with his 3 hyungs and 3 lil dongsaengs fooling around is the cutest ^^,ENT
189,PERFECT 😂,OTHER
190,How do i stop shaking in endgames,ENT
191,told ha she a 10 let me pop you like perky,PERS
192,THANK YOU,OTHER
193,Hate being hungover🤦🏻‍♀️ n i gotta work.. pray for me yall,PERS
194,I swear even with this fucked up wrist I need that fade from a few bitch niggas. I'll prove em a bitch. Frfr,PERS
195,Yesterday at midnight.,OTHER
196,If there’s one thing you can count on people here for these days? It’s disappointment. Never seems to fail.,PERS
197,me ayling and imen are going going through it really,PERS
198,Oh man poor turkey as if 2021 can't any more dangerous,PERS
199,The way housemate are nominating Jaypaul and Liquorose as wildcards instead of Maria and Pere🙌😢,ENT
200,im exhausted,PERS
201,"eyebrow piercing …, let me just burn",PERS
202,I think I'm too impatient to own a 3D Printer.,PERS
203,HAVE I KNOWN YOU 20 SECONDS OR 20 YEARSS,PERS
204,Who gone look out fa 22 now smh,PERS
205,I just lost myself.,PERS
206,🌥️ tnc &amp; snk,OTHER
207,DROP IS AT 8pm est,OTHER
208,Bleached my hair without gloves… Big mistake,PERS
209,Our new Nation is going to be the bestest ever-ah,SOC
210,Favourite food to grill? I'm going to have to go with a good homemade burger patty or butcher shop sausages.,PERS
211,🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣 look here nuh!,OTHER
212,Don't snatch our show RETAIN ISHKPARZORNAHI,ENT
213,You people should let Arin drink water and drop cup. Is Boma a baby? Ahan,PERS
214,idk who tho lmao just a nigga,PERS
215,how tf do i even use it,PERS
216,MOVIE HEADER PO🤗❤,ENT
217,Baked macaroni at 12 md,PERS
218,MORK DAYYYY,OTHER
219,Thyme and Cornyn both need to go. Herschel needs to run and will win. Don’t listen to these lifetime time losers.,SOC
220,"""im not a religious person, but i do think sometimes god made you for me marianne"" SHUT THE FUCK UP SOBS😭😭😭😭😭😭😭",PERS
221,better wages and working conditions for everyone involved in making a show,SOC
222,Learning about AQI,SOC
223,But please say something if I’m wrong,PERS
224,Your outfits are always fire. every time I see you 😭,PERS
225,Niggas making me promise them if they can have some of me,PERS
226,ill have to keep keqing in the basement for a long time i fear,PERS
227,OH MY GOD 5UP,PERS
228,Phyllis the funniest person on the office. LMFAO,ENT
229,Am I crushing on my tattoo artist?,PERS
230,Niggas be lying and yellljn in ya face 😭😭😭,PERS
231,Yeah like Inter will buy him now😂 utter trash,SPORT
232,"""ريحتج حلوه"". will always be my fav complement.",PERS
233,It’s 1st first of the month 🎶,PERS
234,Outerbanks s02 is so good,ENT
235,Them nuggets def underwhelmed.,SPORT
236,Most of these ‘F1 fan’s’ moaning about potential ‘dark arts’ clearly didn’t watch a lot of F1 from 1980-2000 😂😂😂,SPORT
237,I just want to feel ya 🤭,PERS
238,I don't understand de picture but lest go foosh,PERS
239,The Virgo in me is not letting up on the overthinking..,PERS
240,This sounds like a seasonal plotline that would’ve been on Oz lol,ENT
241,i was subbed to generation loss before 3k💪,PERS
242,i hate when ppl call my phone early af like have some respect,PERS
243,Did anyone else have a very strong reaction to the car chase scene in 101 dalmatians?,ENT
244,I need some friend on here🙄,PERS
245,i love u so much 🥺,PERS
246,"[Major Delays] Red Line service is resuming its normal routing, via the subway, btwn Fullerton &amp; Cermak-Chinatown after an earlier reroute.",SOC
247,four hours of genshin……,ENT
248,Tems x Mr Rebel 🎶 🎧 ❤️,ENT
249,I need buju to change the National anthem. Bella Smurdda can take the second stanza.,ENT
