id,Text,Label,Notes
87,"I'm talking about how career oriented and goal focused she is, but yes also other things as well lmao",,
88,see i was gonna read the song of achilles but the cover is so ugly it’s making me not want to buy it,,
89,sometimes people have evil intentions,,
90,I look Like ranboo omds,,
91,I know belichick was pissed after that L,,
92,Amazing news!! These movies rule.,,
93,Chillar- to scream (in pain or fear),,
94,I really don’t give a good god damn what Susan “very concerned” Collins thinks. Do you?,,
95,If you miss ya wave that’s on you… ain’t no U-TURNS!🔃,,
96,Yikes on bikes,,
97,They the opps for life 🥴,,
98,just saw oomf's pinned and now i am struggling to breathe 😩😩,,
99,lovelyz,,
100,She should expect me to cook and know how to handle kids 😌,,
101,the way i cant stop watching this,,
102,No unnecessary spending in august,,
103,light of my life,,
104,pspsps boyfriends please pspsps girlfriends please,,
105,my fave clip on the internet right now,,
106,Things are definitely going back to normal. Sunday afternoon band practice has resumed at the halls next door 🥁,,
107,first media jancok,,
108,I agree but I think we already are living at a lower standard ie smaller paychecks,,
109,I said on priv that Good Guy vs Knobhead was an interesting championship battle but I miss Good Guy vs Good Guy bring back Sewis,,
110,don’t waste the time i don’t have,,
111,276800 Complete :276824-8/1/2021-R60-43C-2 Availability CheckAverage Empty Length 447&lt;br /&gt;Efficiency 73.39%&lt;br /&gt;,,
112,why me babying men 13 years older than me😌,,
113,How bout we build the moon together?,,
114,Something Neo cannot do no matter how they convince him,,
115,One hand neck …. One hand on frontal,,
116,All you saying is women are hoes shordy 😂😂😂😂 like wtf,,
117,This girl had a pic of her hand saying I wear a ring on my finger so guys will leave me alone,,
118,my friends r so egg 😭😭😭,,
119,"The Ounce is: 1814.80 $ at :Sunday, August 01, 2021 8:06:10 PM (GMT 4)",,
120,God its me,,
121,Inspirational.,,
122,Can’t believe I don’t travel for a living😭😭 what’s this like I’m coming back to,,
123,can’t wait to say woozi being forced to do nothing sjsklqanne,,
124,fuck off dni,,
125,I just told the waitress “you too” after she said “enjoy your food” I’m finna leave 💀💀,,
126,Dwan,,
127,I really love everybody in my life that go hard for me .. I’ll go against a army behind mine,,
128,I fix me because sometimes I was the problem.,,
129,Lob 7? Ifb (ask for fb if you’re already following me),,
130,my baby made me the best breakfast sandwich this morning 😩 we be at work making anything,,
131,Let's keep the triple digit sends rolling in. It's what I like to see in the beginning of every month.,,
132,"“the church is homophobic” the in-game pope is fucking gay, my man",,
133,Why do cats decide to be energetic at 4am lol,,
134,"Shadows all over my heart got nobody to trust, All I've ever wanted was just to be loved",,
135,Lmao did they actually think trump would pay a dime to Rudy,,
136,Chatime,,
137,I’m always here for you🤍,,
138,happy girlfriends day to every woman with a crush on me,,
139,⠀ ⠀ . . . she will refrain from making any further comments . ⠀,,
140,I just unpacked a box from when I moved. I’ve lived her for like 9 months. Lmao. I can’t wait to move again,,
141,"brb im running to the toy store to buy a giant ass teddy bear for my gm, y’all want anything?",,
142,every day happy er.,,
143,I wake up late and ocon wins what to heck,,
144,im about to play that beat saber vr game for the first time🥶,,
145,Gen Z was a mistake.,,
146,I’ve been working extremely hard last month my vacation starts tomorrow. 🙃🙃🙃,,
147,"The maid didn't let anyone see her for the rest of the evening, not lady Alcina Dimitrescu or Mother Miranda",,
148,"Interesting, wonder if this will lead to a general crackdown on pop stars, seems to be the trend these days….",,
149,Wooow so nobody wants me,,
150,Getting all these free/discount emails for my birthday month 😹,,
151,Jury duty is all about putting someone else's life in your hands for about $12 a day,,
152,Improvise adapt and overcome.,,
153,Why do I look mad in so many of my photos,,
154,speechless bgttt liat ig story arif muhamad😶😶😶,,
155,Ok logout chesthunna Bye see y'all soon ❤ Take care,,
156,I’m gonna cry,,
157,posting pics of my bitch looking BAD,,
158,“Very hung~”,,
159,"oh captain, my captian",,
160,lmaooo i just posted all my homegirls today,,
161,IM WEAK FOR THIS SUNWOO 😭😭😭,,
162,And then Mathoho kicks the ball out while there’s no pressure on him 💀,,
163,Here we go again,,
164,Night 🌝,,
165,replacing every,,
166,This is the second time. Even on Chiefs' corner. He was inside 😂😂,,
167,i hate it when i cant be happy.,,
168,Finding simplicity and yet avoiding clichés are way harder than you think it is,,
169,Americans trying to claim Lamont Jacobs is just the saddest shit.,,
170,such a cool model babie sunwoo🥰♥️,,
171,Any ladies wanna try with me?,,
172,I catch about 60 attitudes a day 🤣🤣🤣🤣🤣🤣,,
173,See a bitch like me would’ve flipped da question like “what u think it abt 🤔” or said sumn abt cars,,
174,GEORGE 🥺,,
175,"Life is too short to be living in some boring ass location because the cost of living is cheaper, you get what you pay for",,
176,chatime,,
177,HELP,,
178,i know the love be fake but as long as the respect real we good!,,
179,Led lights are ugly,,
180,"wait i have classes tmrw, and ive been out the whole day so i kinda rested for a bit … i havent studied anything fuuck shud i go study",,
181,Lauren and Cam🥺,,
182,When I was losing I was still smiling I knew I was gone get it back,,
183,Viva la Sebastian Vettel. Showing up the problems in Formula One.,,
184,SFTH &gt; Wattpad &gt; webtoon,,
185,5 months celibacy ends today i gotta feel smth.,,
186,Co signed ... Champions of Europe TWICE,,
187,Jing,,
188,namjoon with his 3 hyungs and 3 lil dongsaengs fooling around is the cutest ^^,,
189,PERFECT 😂,,
190,How do i stop shaking in endgames,,
191,told ha she a 10 let me pop you like perky,,
192,THANK YOU,,
193,Hate being hungover🤦🏻‍♀️ n i gotta work.. pray for me yall,,
194,I swear even with this fucked up wrist I need that fade from a few bitch niggas. I'll prove em a bitch. Frfr,,
195,Yesterday at midnight.,,
196,If there’s one thing you can count on people here for these days? It’s disappointment. Never seems to fail.,,
197,me ayling and imen are going going through it really,,
198,Oh man poor turkey as if 2021 can't any more dangerous,,
199,The way housemate are nominating Jaypaul and Liquorose as wildcards instead of Maria and Pere🙌😢,,
200,im exhausted,,
201,"eyebrow piercing …, let me just burn",,
202,I think I'm too impatient to own a 3D Printer.,,
203,HAVE I KNOWN YOU 20 SECONDS OR 20 YEARSS,,
204,Who gone look out fa 22 now smh,,
205,I just lost myself.,,
206,🌥️ tnc &amp; snk,,
207,DROP IS AT 8pm est,,
208,Bleached my hair without gloves… Big mistake,,
209,Our new Nation is going to be the bestest ever-ah,,
210,Favourite food to grill? I'm going to have to go with a good homemade burger patty or butcher shop sausages.,,
211,🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣 look here nuh!,,
212,Don't snatch our show RETAIN ISHKPARZORNAHI,,
213,You people should let Arin drink water and drop cup. Is Boma a baby? Ahan,,
214,idk who tho lmao just a nigga,,
215,how tf do i even use it,,
216,MOVIE HEADER PO🤗❤,,
217,Baked macaroni at 12 md,,
218,MORK DAYYYY,,
219,Thyme and Cornyn both need to go. Herschel needs to run and will win. Don’t listen to these lifetime time losers.,,
220,"""im not a religious person, but i do think sometimes god made you for me marianne"" SHUT THE FUCK UP SOBS😭😭😭😭😭😭😭",,
221,better wages and working conditions for everyone involved in making a show,,
222,Learning about AQI,,
223,But please say something if I’m wrong,,
224,Your outfits are always fire. every time I see you 😭,,
225,Niggas making me promise them if they can have some of me,,
226,ill have to keep keqing in the basement for a long time i fear,,
227,OH MY GOD 5UP,,
228,Phyllis the funniest person on the office. LMFAO,,
229,Am I crushing on my tattoo artist?,,
230,Niggas be lying and yellljn in ya face 😭😭😭,,
231,Yeah like Inter will buy him now😂 utter trash,,
232,"""ريحتج حلوه"". will always be my fav complement.",,
233,It’s 1st first of the month 🎶,,
234,Outerbanks s02 is so good,,
235,Them nuggets def underwhelmed.,,
236,Most of these ‘F1 fan’s’ moaning about potential ‘dark arts’ clearly didn’t watch a lot of F1 from 1980-2000 😂😂😂,,
237,I just want to feel ya 🤭,,
238,I don't understand de picture but lest go foosh,,
239,The Virgo in me is not letting up on the overthinking..,,
240,This sounds like a seasonal plotline that would’ve been on Oz lol,,
241,i was subbed to generation loss before 3k💪,,
242,i hate when ppl call my phone early af like have some respect,,
243,Did anyone else have a very strong reaction to the car chase scene in 101 dalmatians?,,
244,I need some friend on here🙄,,
245,i love u so much 🥺,,
246,"[Major Delays] Red Line service is resuming its normal routing, via the subway, btwn Fullerton &amp; Cermak-Chinatown after an earlier reroute.",,
247,four hours of genshin……,,
248,Tems x Mr Rebel 🎶 🎧 ❤️,,
249,I need buju to change the National anthem. Bella Smurdda can take the second stanza.,,
